polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric Voyager wind profile from Tollefson et al. (2018, Icarus 311) Table 1.
the polar and equatorial radii in this file come from random draws in j2 and j4 from the Jacobson (2009, AJ 137) error ellipsoid,
followed by direct integration of Equation (3) from the Voyager 2 occultation point reported in Lindal (1992, AJ 103) to either the equator or the pole.
index         r_pol_km          r_eq_km               j2               j4               j6
  192      24283.49232      24763.56908   3.50898491e-03  -3.59260389e-05   1.66839125e-06
  193      24283.48327      24763.56306   3.50918221e-03  -3.55716617e-05   1.53298265e-06
  194      24283.49532      24763.56662   3.50904064e-03  -3.58195473e-05   1.56995457e-06
  195      24283.49577      24763.54926   3.50943045e-03  -3.53355107e-05   3.13013503e-07
  196      24283.56926      24763.54591   3.50888228e-03  -3.59816826e-05  -5.26813295e-07
  197      24283.52015      24763.53737   3.50972059e-03  -3.50356164e-05  -6.52355911e-07
  198      24283.49702      24763.56169   3.50904258e-03  -3.57257877e-05   1.29250567e-06
  199      24283.54438      24763.54164   3.50939284e-03  -3.54865991e-05  -6.87615758e-07
  200      24283.51433      24763.54110   3.50969845e-03  -3.50706644e-05  -3.29405493e-07
  201      24283.51310      24763.56389   3.50896399e-03  -3.59793781e-05   1.08735490e-06
  202      24283.46453      24763.54306   3.50991236e-03  -3.46708888e-05   3.76001479e-07
  203      24283.45096      24763.56101   3.50958549e-03  -3.51282730e-05   1.64900163e-06
  204      24283.47975      24763.55735   3.50938658e-03  -3.53120498e-05   1.21656151e-06
  205      24283.41918      24763.56027   3.50997619e-03  -3.47976117e-05   1.66952876e-06
  206      24283.51972      24763.55615   3.50923865e-03  -3.56374520e-05   6.33777235e-07
  207      24283.45907      24763.55937   3.50968384e-03  -3.51754475e-05   1.23672302e-06
  208      24283.49809      24763.55244   3.50956599e-03  -3.53332018e-05   4.11644250e-07
  209      24283.52688      24763.54563   3.50938744e-03  -3.54352587e-05  -1.81145286e-07
  210      24283.52159      24763.56002   3.50883860e-03  -3.59132073e-05   1.05221591e-06
  211      24283.53714      24763.55739   3.50894946e-03  -3.60151376e-05   4.01887415e-07
  212      24283.40331      24763.54367   3.50946094e-03  -3.52559846e-05  -1.03235094e-07
  213      24283.47921      24763.55227   3.50958009e-03  -3.51203891e-05   8.27775625e-07
  214      24283.47110      24763.57606   3.50895372e-03  -3.59020386e-05   2.44984274e-06
  215      24283.45934      24763.57442   3.50915297e-03  -3.57136022e-05   2.38017396e-06
  216      24283.53016      24763.55370   3.50909137e-03  -3.57609294e-05   3.65210262e-07
  217      24283.50074      24763.54840   3.50965397e-03  -3.51907512e-05   1.87555692e-07
  218      24283.49640      24763.56271   3.50936795e-03  -3.56590829e-05   1.02307736e-06
  219      24283.51279      24763.54807   3.50938596e-03  -3.53944491e-05   1.41880787e-07
  220      24283.51026      24763.57880   3.50847604e-03  -3.64549616e-05   2.28408740e-06
  221      24283.52451      24763.55963   3.50897962e-03  -3.57662187e-05   1.10719876e-06
  222      24283.41622      24763.56390   3.50988000e-03  -3.48308554e-05   2.10155738e-06
  223      24283.40288      24763.55264   3.50956846e-03  -3.52439618e-05   6.16864164e-07
  224      24283.56718      24763.54365   3.50896147e-03  -3.58558744e-05  -6.02337197e-07
  225      24283.46514      24763.58497   3.50879391e-03  -3.60227214e-05   3.30538550e-06
  226      24283.49629      24763.57248   3.50875872e-03  -3.60672588e-05   2.05715825e-06
  227      24282.97359      24763.53944   3.50924342e-03  -3.54698095e-05  -6.29292594e-07
  228      24283.61731      24763.54124   3.50857664e-03  -3.63910995e-05  -1.37757071e-06
  229      24283.49182      24763.55063   3.50949826e-03  -3.53252189e-05   3.60234733e-07
  230      24283.53145      24763.54454   3.50912997e-03  -3.56986962e-05  -4.43525131e-07
  231      24283.44921      24763.57097   3.50936384e-03  -3.54334589e-05   2.31459148e-06
  232      24283.52727      24763.55940   3.50886539e-03  -3.58637524e-05   1.05644514e-06
  233      24283.49559      24763.54707   3.50959907e-03  -3.52060829e-05   1.13238800e-07
  234      24283.57141      24763.54021   3.50907632e-03  -3.58057016e-05  -1.01176665e-06
  235      24283.55830      24763.54953   3.50864250e-03  -3.61587455e-05  -1.80169546e-07
  236      24283.47135      24763.56480   3.50934919e-03  -3.53934866e-05   1.81937844e-06
  237      24283.55813      24763.54003   3.50915417e-03  -3.56674269e-05  -8.55099746e-07
  238      24283.47084      24763.55615   3.50954070e-03  -3.52025230e-05   1.09288293e-06
  239      24283.39868      24763.58080   3.50969698e-03  -3.50803020e-05   3.49750855e-06
  240      24283.44786      24763.55572   3.50971208e-03  -3.49143771e-05   1.39745697e-06
  241      24283.55719      24763.54055   3.50919921e-03  -3.56242099e-05  -7.82851764e-07
  242      24283.52094      24763.54029   3.50961102e-03  -3.51756216e-05  -4.95927699e-07
  243      24283.42373      24763.55409   3.50969094e-03  -3.51664993e-05   7.29841140e-07
  244      24283.54960      24763.54767   3.50900682e-03  -3.58540207e-05  -2.79868298e-07
  245      24283.48277      24763.56195   3.50920567e-03  -3.55858260e-05   1.36011317e-06
  246      24283.45946      24763.56299   3.50950155e-03  -3.52642520e-05   1.68094816e-06
  247      24283.48822      24763.55254   3.50964964e-03  -3.52808956e-05   4.02111289e-07
  248      24283.37983      24763.55177   3.51076189e-03  -3.39504548e-05   1.42353288e-06
  249      24283.47009      24763.55649   3.50946209e-03  -3.52112430e-05   1.23091044e-06
  250      24283.58025      24763.54298   3.50900860e-03  -3.59736384e-05  -9.95960948e-07
  251      24283.49045      24763.54847   3.50966563e-03  -3.51279376e-05   3.09806181e-07
  252      24283.46990      24763.55441   3.50973092e-03  -3.49871093e-05   1.08493569e-06
  253      24283.44789      24763.56310   3.50957212e-03  -3.51555451e-05   1.81242068e-06
  254      24283.54297      24763.53495   3.50936750e-03  -3.55144821e-05  -1.35691733e-06
  255      24283.49778      24763.55086   3.50947335e-03  -3.53677533e-05   3.31335705e-07
  256      24283.49258      24763.54870   3.50946437e-03  -3.51328902e-05   6.36876163e-07
  257      24283.50781      24763.56299   3.50922071e-03  -3.57656356e-05   1.05362660e-06
  258      24283.50162      24763.55917   3.50938998e-03  -3.54135512e-05   1.17039316e-06
  259      24283.53202      24763.55135   3.50903749e-03  -3.57358173e-05   2.76816701e-07
  260      24283.42418      24763.55597   3.50982029e-03  -3.47565389e-05   1.58777925e-06
  261      24283.50639      24763.55231   3.50967759e-03  -3.50654385e-05   7.95336612e-07
  262      24283.47159      24763.55269   3.50972583e-03  -3.50529521e-05   7.82467813e-07
  263      24283.61413      24763.55427   3.50809402e-03  -3.68015258e-05  -2.33906798e-07
  264      24283.58887      24763.55556   3.50825050e-03  -3.66812788e-05  -9.80296891e-08
  265      24283.48591      24763.56585   3.50906187e-03  -3.56823316e-05   1.75597803e-06
  266      24283.45619      24763.55363   3.50989626e-03  -3.47926801e-05   1.16569193e-06
