polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the composite asymmetric wind profile from Sromovsky et al. (2015, Icarus 258) Section 4.5 and Table 6.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index   r_pol_north_km   r_pol_south_km          r_eq_km              lnp
  235        24975.015        24969.635        25562.986       -1.386e+00
  236        24974.431        24969.051        25562.361       -1.108e+00
  237        24966.962        24961.588        25554.377       -3.104e-01
  238        24966.571        24961.198        25553.958       -4.091e-01
  239        24975.273        24969.893        25563.261       -1.518e+00
  240        24973.163        24967.785        25561.006       -6.139e-01
  241        24967.361        24961.987        25554.803       -2.242e-01
  242        24966.571        24961.198        25553.958       -4.091e-01
  243        24975.273        24969.893        25563.261       -1.518e+00
  244        24973.163        24967.785        25561.006       -6.139e-01
  245        24967.632        24962.258        25555.092       -1.740e-01
  246        24966.451        24961.078        25553.830       -4.421e-01
  247        24975.273        24969.893        25563.261       -1.518e+00
  248        24973.163        24967.785        25561.006       -6.139e-01
  249        24967.632        24962.258        25555.092       -1.740e-01
  250        24962.163        24956.794        25549.247       -2.486e+00
  251        24975.273        24969.893        25563.261       -1.518e+00
  252        24971.373        24965.997        25559.092       -1.656e-01
  253        24970.780        24965.404        25558.459       -8.171e-02
  254        24962.163        24956.794        25549.247       -2.486e+00
  255        24975.273        24969.893        25563.261       -1.518e+00
  256        24971.373        24965.997        25559.092       -1.656e-01
  257        24968.235        24962.861        25555.737       -8.617e-02
  258        24962.163        24956.794        25549.247       -2.486e+00
  259        24975.273        24969.893        25563.261       -1.518e+00
  260        24971.182        24965.804        25558.888       -1.351e-01
  261        24968.457        24963.083        25555.975       -6.216e-02
  262        24962.301        24956.931        25549.393       -2.395e+00
  263        24974.716        24969.336        25562.666       -1.240e+00
  264        24970.043        24964.668        25557.670       -2.210e-02
  265        24971.108        24965.731        25558.809       -1.241e-01
  266        24962.301        24956.931        25549.393       -2.395e+00
  267        24973.369        24967.990        25561.225       -6.840e-01
  268        24969.414        24964.038        25556.998       -1.051e-02
  269        24971.693        24966.315        25559.434       -2.241e-01
  270        24961.290        24955.921        25548.313       -3.109e+00
  271        24973.271        24967.892        25561.121       -6.502e-01
  272        24969.414        24964.038        25556.998       -1.051e-02
  273        24972.432        24967.054        25560.225       -3.955e-01
  274        24961.290        24955.921        25548.313       -3.109e+00
  275        24973.271        24967.892        25561.121       -6.502e-01
  276        24968.125        24962.750        25555.619       -9.977e-02
  277        24970.368        24964.992        25558.018       -4.228e-02
  278        24961.290        24955.921        25548.313       -3.109e+00
  279        24970.351        24964.975        25558.000       -4.100e-02
  280        24968.207        24962.833        25555.708       -8.949e-02
  281        24972.029        24966.651        25559.794       -2.959e-01
  282        24961.290        24955.921        25548.313       -3.109e+00
  283        24969.270        24963.895        25556.844       -1.294e-02
  284        24967.442        24962.069        25554.890       -2.084e-01
  285        24972.029        24966.651        25559.794       -2.959e-01
  286        24961.667        24956.298        25548.716       -2.831e+00
  287        24968.863        24963.487        25556.408       -3.011e-02
  288        24970.369        24964.993        25558.019       -4.236e-02
  289        24974.280        24968.900        25562.200       -1.042e+00
  290        24963.910        24958.540        25551.114       -1.451e+00
  291        24964.733        24959.362        25551.994       -1.059e+00
  292        24970.369        24964.993        25558.019       -4.236e-02
  293        24971.721        24966.343        25559.464       -2.298e-01
  294        24964.983        24959.612        25552.261       -9.529e-01
  295        24964.733        24959.362        25551.994       -1.059e+00
  296        24971.642        24966.265        25559.380       -2.143e-01
  297        24972.339        24966.961        25560.125       -3.711e-01
  298        24965.377        24960.005        25552.682       -7.964e-01
  299        24966.356        24960.983        25553.729       -4.691e-01
  300        24968.805        24963.430        25556.347       -3.372e-02
  301        24973.682        24968.303        25561.560       -7.983e-01
  302        24965.377        24960.005        25552.682       -7.964e-01
  303        24966.096        24960.723        25553.451       -5.474e-01
  304        24968.926        24963.552        25556.476       -2.641e-02
