polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the polar and equatorial radii in this file come from random draws in j2 and j4 from the French et al. (2024, Icarus 411) error ellipsoid,
followed by direct integration of Equation (3) from one of the Voyager 2 radio points reported in Lindal et al. 1987 to either the equator or the pole.
index         r_pol_km          r_eq_km               j2               j4               j6
  218      24968.87226      25556.62020   3.50939461e-03  -3.54297458e-05   6.57581221e-07
  219      24968.78305      25556.62081   3.50990574e-03  -3.47798467e-05   2.32647192e-06
  220      24968.87566      25556.62030   3.50924952e-03  -3.56147901e-05   8.07989766e-07
  221      24968.92183      25556.61996   3.50901489e-03  -3.58680654e-05  -6.84280446e-08
  222      24968.94262      25556.61921   3.50953476e-03  -3.52919914e-05  -1.57261099e-06
  223      24968.88896      25556.61985   3.50954016e-03  -3.52340170e-05  -6.23901265e-08
  224      24968.84905      25556.62077   3.50904240e-03  -3.57147107e-05   1.90088922e-06
  225      24968.86765      25556.62066   3.50900741e-03  -3.59181594e-05   1.52112610e-06
  226      24968.86032      25556.62025   3.50946949e-03  -3.52524922e-05   8.48467023e-07
  227      24968.82663      25556.62090   3.50926627e-03  -3.55761468e-05   2.22115587e-06
  228      24968.87772      25556.62015   3.50943265e-03  -3.54838251e-05   5.14287545e-07
  229      24968.80406      25556.62072   3.50976036e-03  -3.50143644e-05   2.01855417e-06
  230      24968.85253      25556.62075   3.50909439e-03  -3.58006370e-05   1.79244804e-06
  231      24968.94974      25556.61951   3.50911948e-03  -3.57568727e-05  -1.05516024e-06
  232      24968.99691      25556.61929   3.50870227e-03  -3.61909212e-05  -1.70690629e-06
  233      24968.79683      25556.62082   3.50969887e-03  -3.49856086e-05   2.27035155e-06
  234      24968.87343      25556.61998   3.50959889e-03  -3.51487134e-05   2.71461447e-07
  235      24968.87495      25556.62036   3.50919850e-03  -3.57185389e-05   9.11578757e-07
  236      24968.89850      25556.62014   3.50905663e-03  -3.57192223e-05   4.38119724e-07
  237      24968.84351      25556.62051   3.50944048e-03  -3.53479595e-05   1.41691926e-06
  238      24968.86521      25556.62027   3.50938697e-03  -3.53992232e-05   8.45224763e-07
  239      24968.80900      25556.62114   3.50923719e-03  -3.55790400e-05   2.77138555e-06
  240      24968.79630      25556.62107   3.50943779e-03  -3.52714153e-05   2.74166497e-06
  241      24968.98075      25556.61929   3.50901794e-03  -3.60186999e-05  -1.68637970e-06
  242      24968.91391      25556.62012   3.50887784e-03  -3.59354318e-05   3.09734269e-07
  243      24968.88374      25556.62050   3.50892197e-03  -3.59448400e-05   1.17260034e-06
  244      24968.84035      25556.62068   3.50924221e-03  -3.54590822e-05   1.78962014e-06
  245      24968.92568      25556.62046   3.50840411e-03  -3.65244509e-05   8.62157390e-07
  246      24968.80683      25556.62106   3.50928851e-03  -3.54154065e-05   2.67698472e-06
  247      24968.83044      25556.62016   3.51002306e-03  -3.47555243e-05   8.21319583e-07
  248      24968.86854      25556.62041   3.50925079e-03  -3.56371126e-05   1.06619617e-06
  249      24968.90765      25556.62000   3.50912166e-03  -3.56773844e-05   1.15741148e-07
  250      24968.85287      25556.62057   3.50927369e-03  -3.55786431e-05   1.46176885e-06
  251      24968.89906      25556.61951   3.50984333e-03  -3.50230989e-05  -8.09327718e-07
  252      24968.88475      25556.61998   3.50944508e-03  -3.53073219e-05   2.05783712e-07
  253      24968.91782      25556.61979   3.50926897e-03  -3.56297893e-05  -3.68247695e-07
  254      24968.84078      25556.62094   3.50903142e-03  -3.58410454e-05   2.22311910e-06
  255      24968.83066      25556.62073   3.50946229e-03  -3.54764973e-05   1.83488722e-06
  256      24968.90849      25556.61999   3.50913051e-03  -3.56851280e-05   8.59819389e-08
  257      24968.81396      25556.62071   3.50958619e-03  -3.51090583e-05   1.97623205e-06
  258      24968.79865      25556.62053   3.50998853e-03  -3.47084109e-05   1.69724336e-06
  259      24968.87382      25556.62054   3.50896198e-03  -3.57920528e-05   1.32515958e-06
  260      24968.80417      25556.62113   3.50930180e-03  -3.54848351e-05   2.78611412e-06
  261      24968.76854      25556.62129   3.50967374e-03  -3.51981586e-05   3.24610691e-06
  262      24968.87056      25556.62044   3.50917147e-03  -3.56726086e-05   1.11853960e-06
  263      24968.89756      25556.62031   3.50900863e-03  -3.59704405e-05   6.88936800e-07
  264      24968.84746      25556.62081   3.50907317e-03  -3.57675774e-05   1.94402439e-06
  265      24968.87623      25556.62013   3.50938848e-03  -3.53507322e-05   5.35032479e-07
  266      24968.82260      25556.62055   3.50973631e-03  -3.51323175e-05   1.56946728e-06
  267      24968.87815      25556.62032   3.50919448e-03  -3.56961652e-05   8.28525466e-07
  268      24968.88902      25556.62048   3.50901139e-03  -3.61037095e-05   1.01273482e-06
  269      24968.89318      25556.62046   3.50882921e-03  -3.60268177e-05   1.04744857e-06
  270      24968.92245      25556.62017   3.50872267e-03  -3.61382681e-05   3.36807443e-07
  271      24968.91494      25556.62025   3.50877010e-03  -3.61795639e-05   4.93730188e-07
  272      24968.83179      25556.62073   3.50941756e-03  -3.54691198e-05   1.84714300e-06
