polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index         r_pol_km          r_eq_km              lnp 
  298        24973.757        25562.806       -1.303e+00
  299        24972.114        25561.049       -6.275e-01
  300        24969.714        25558.484       -8.445e-02
  301        24968.127        25556.786       -1.432e-02
  302        24973.757        25562.806       -1.303e+00
  303        24972.395        25561.350       -7.258e-01
  304        24969.675        25558.441       -7.991e-02
  305        24967.045        25555.629       -9.848e-02
  306        24973.413        25562.439       -1.141e+00
  307        24973.374        25562.397       -1.123e+00
  308        24966.356        25554.892       -2.079e-01
  309        24967.042        25555.627       -9.882e-02
  310        24971.325        25560.206       -3.909e-01
  311        24972.892        25561.882       -9.168e-01
  312        24967.202        25555.797       -7.967e-02
  313        24967.042        25555.627       -9.882e-02
  314        24969.768        25558.541       -9.080e-02
  315        24971.125        25559.992       -3.400e-01
  316        24966.302        25554.836       -2.181e-01
  317        24967.319        25555.923       -6.701e-02
  318        24968.053        25556.707       -1.667e-02
  319        24971.125        25559.992       -3.400e-01
  320        24966.462        25555.006       -1.882e-01
  321        24967.930        25556.575       -2.168e-02
  322        24967.461        25556.075       -5.343e-02
  323        24969.716        25558.485       -8.464e-02
  324        24963.829        25552.191       -9.802e-01
  325        24967.234        25555.832       -7.604e-02
  326        24967.354        25555.960       -6.349e-02
  327        24969.971        25558.758       -1.174e-01
  328        24962.936        25551.237       -1.392e+00
  329        24967.588        25556.210       -4.284e-02
  330        24969.217        25557.952       -3.770e-02
  331        24969.971        25558.758       -1.174e-01
  332        24962.936        25551.237       -1.392e+00
  333        24968.539        25557.226       -1.038e-02
  334        24972.559        25561.525       -7.861e-01
  335        24969.971        25558.758       -1.174e-01
  336        24962.936        25551.237       -1.392e+00
  337        24966.486        25555.032       -1.838e-01
  338        24972.267        25561.213       -6.800e-01
  339        24971.025        25559.885       -3.158e-01
  340        24962.936        25551.237       -1.392e+00
  341        24966.370        25554.908       -2.051e-01
  342        24973.068        25562.070       -9.899e-01
  343        24971.025        25559.885       -3.158e-01
  344        24964.399        25552.800       -7.550e-01
  345        24966.370        25554.908       -2.051e-01
  346        24968.828        25557.536       -1.688e-02
  347        24971.931        25560.854       -5.678e-01
  348        24965.024        25553.469       -5.420e-01
  349        24967.459        25556.072       -5.361e-02
  350        24967.470        25556.084       -5.268e-02
  351        24975.556        25564.729       -2.325e+00
  352        24966.744        25555.307       -1.409e-01
  353        24967.456        25556.069       -5.386e-02
  354        24967.478        25556.093       -5.194e-02
  355        24970.843        25559.691       -2.745e-01
  356        24966.169        25554.693       -2.449e-01
  357        24966.955        25555.533       -1.103e-01
  358        24967.940        25556.586       -2.122e-02
  359        24970.863        25559.711       -2.787e-01
  360        24966.385        25554.924       -2.023e-01
  361        24967.836        25556.475       -2.645e-02
  362        24967.902        25556.546       -2.299e-02
  363        24970.848        25559.696       -2.755e-01
  364        24966.030        25554.544       -2.747e-01
  365        24969.261        25557.999       -4.090e-02
  366        24968.289        25556.960       -1.091e-02
  367        24971.651        25560.555       -4.820e-01
  368        24967.908        25556.552       -2.270e-02
  369        24970.515        25559.339       -2.071e-01
  370        24968.865        25557.576       -1.828e-02
  371        24975.582        25564.758       -2.342e+00
  372        24967.492        25556.107       -5.075e-02
  373        24971.751        25560.661       -5.116e-01
  374        24969.666        25558.432       -7.887e-02
  375        24975.582        25564.758       -2.342e+00
  376        24967.727        25556.359       -3.295e-02
  377        24971.035        25559.896       -3.184e-01
  378        24967.979        25556.629       -1.948e-02
  379        24975.146        25564.292       -2.067e+00
  380        24968.580        25557.271       -1.085e-02
  381        24969.493        25558.247       -6.089e-02
  382        24966.817        25555.386       -1.298e-01
  383        24973.730        25562.777       -1.290e+00
  384        24968.108        25556.766       -1.487e-02
  385        24969.527        25558.283       -6.419e-02
  386        24964.391        25552.792       -7.577e-01
  387        24973.478        25562.507       -1.171e+00
  388        24968.521        25557.207       -1.023e-02
  389        24968.866        25557.577       -1.834e-02
  390        24964.391        25552.792       -7.577e-01
  391        24969.356        25558.100       -4.845e-02
  392        24968.600        25557.293       -1.113e-02
  393        24971.318        25560.199       -3.892e-01
  394        24964.728        25553.153       -6.383e-01
  395        24969.589        25558.350       -7.053e-02
  396        24969.624        25558.387       -7.427e-02
  397        24970.407        25559.224       -1.872e-01
  398        24964.728        25553.153       -6.383e-01
  399        24970.442        25559.262       -1.935e-01
  400        24971.412        25560.299       -4.144e-01
  401        24970.300        25559.110       -1.684e-01
  402        24964.728        25553.153       -6.383e-01
  403        24970.686        25559.523       -2.411e-01
  404        24972.070        25561.002       -6.128e-01
  405        24969.463        25558.215       -5.798e-02
  406        24964.130        25552.513       -8.573e-01
  407        24970.794        25559.638       -2.637e-01
  408        24972.070        25561.002       -6.128e-01
  409        24968.749        25557.451       -1.435e-02
  410        24965.811        25554.310       -3.249e-01
  411        24970.421        25559.239       -1.897e-01
  412        24972.737        25561.716       -8.547e-01
  413        24968.742        25557.444       -1.417e-02
  414        24965.811        25554.310       -3.249e-01
  415        24968.940        25557.656       -2.149e-02
  416        24971.073        25559.936       -3.273e-01
  417        24968.674        25557.371       -1.248e-02
  418        24966.381        25554.919       -2.031e-01
  419        24970.579        25559.408       -2.195e-01
  420        24971.634        25560.536       -4.769e-01
  421        24967.526        25556.144       -4.783e-02
  422        24967.644        25556.270       -3.867e-02
  423        24969.197        25557.930       -3.628e-02
  424        24971.634        25560.536       -4.769e-01
  425        24965.226        25553.685       -4.810e-01
  426        24964.604        25553.019       -6.813e-01
  427        24969.883        25558.664       -1.054e-01
  428        24971.634        25560.536       -4.769e-01
  429        24965.915        25554.421       -3.006e-01
  430        24964.737        25553.162       -6.354e-01
  431        24969.205        25557.939       -3.687e-02
  432        24971.634        25560.536       -4.769e-01
  433        24964.511        25552.921       -7.140e-01
  434        24965.718        25554.210       -3.478e-01
  435        24969.042        25557.765       -2.664e-02
  436        24971.634        25560.536       -4.769e-01
  437        24964.511        25552.921       -7.140e-01
  438        24966.115        25554.636       -2.562e-01
  439        24969.042        25557.765       -2.664e-02
  440        24973.030        25562.029       -9.736e-01
  441        24964.954        25553.394       -5.641e-01
  442        24966.603        25555.157       -1.636e-01
  443        24967.892        25556.535       -2.348e-02
  444        24973.030        25562.029       -9.736e-01
  445        24964.954        25553.394       -5.641e-01
  446        24966.551        25555.102       -1.724e-01
  447        24967.320        25555.924       -6.689e-02
  448        24973.525        25562.558       -1.193e+00
  449        24964.954        25553.394       -5.641e-01
  450        24966.984        25555.564       -1.064e-01
  451        24967.543        25556.162       -4.641e-02
  452        24973.525        25562.558       -1.193e+00
  453        24964.954        25553.394       -5.641e-01
  454        24966.374        25554.913       -2.043e-01
  455        24967.947        25556.594       -2.091e-02
  456        24974.237        25563.320       -1.547e+00
  457        24967.350        25555.956       -6.388e-02
  458        24967.063        25555.649       -9.621e-02
  459        24967.460        25556.073       -5.356e-02
  460        24974.237        25563.320       -1.547e+00
  461        24967.394        25556.002       -5.965e-02
  462        24966.809        25555.377       -1.311e-01
  463        24967.485        25556.100       -5.134e-02
  464        24971.759        25560.670       -5.140e-01
  465        24966.703        25555.264       -1.472e-01
  466        24966.988        25555.568       -1.059e-01
  467        24969.337        25558.081       -4.694e-02
  468        24970.134        25558.932       -1.414e-01
  469        24966.703        25555.264       -1.472e-01
  470        24969.285        25558.025       -4.278e-02
  471        24971.651        25560.554       -4.817e-01
  472        24969.915        25558.698       -1.097e-01
  473        24966.253        25554.782       -2.280e-01
  474        24968.622        25557.315       -1.147e-02
  475        24974.122        25563.197       -1.487e+00
  476        24969.915        25558.698       -1.097e-01
  477        24966.253        25554.782       -2.280e-01
  478        24969.147        25557.877       -3.294e-02
  479        24974.122        25563.197       -1.487e+00
  480        24969.915        25558.698       -1.097e-01
  481        24969.864        25558.644       -1.030e-01
  482        24969.260        25557.998       -4.089e-02
  483        24972.713        25561.690       -8.451e-01
  484        24970.210        25559.014       -1.535e-01
  485        24969.864        25558.644       -1.030e-01
  486        24969.292        25558.032       -4.332e-02
  487        24974.555        25563.660       -1.720e+00
  488        24970.205        25559.008       -1.526e-01
  489        24966.505        25555.052       -1.804e-01
  490        24969.722        25558.491       -8.529e-02
  491        24976.154        25565.369       -2.731e+00
  492        24970.738        25559.578       -2.518e-01
  493        24967.754        25556.388       -3.123e-02
  494        24969.722        25558.491       -8.529e-02
  495        24974.453        25563.550       -1.663e+00
  496        24970.345        25559.158       -1.762e-01
  497        24967.754        25556.388       -3.123e-02
  498        24969.722        25558.491       -8.529e-02
  499        24974.453        25563.550       -1.663e+00
  500        24972.398        25561.354       -7.269e-01
  501        24967.681        25556.310       -3.604e-02
  502        24968.138        25556.798       -1.400e-02
  503        24973.948        25563.010       -1.398e+00
  504        24972.902        25561.892       -9.207e-01
  505        24969.642        25558.406       -7.622e-02
  506        24965.992        25554.504       -2.831e-01
  507        24974.098        25563.171       -1.474e+00
  508        24973.553        25562.588       -1.206e+00
  509        24966.959        25555.538       -1.097e-01
  510        24965.992        25554.504       -2.831e-01
  511        24973.703        25562.749       -1.277e+00
  512        24973.449        25562.477       -1.158e+00
  513        24966.959        25555.538       -1.097e-01
  514        24965.992        25554.504       -2.831e-01
  515        24970.957        25559.813       -3.001e-01
  516        24973.449        25562.477       -1.158e+00
  517        24966.959        25555.538       -1.097e-01
  518        24967.395        25556.003       -5.957e-02
  519        24972.623        25561.593       -8.103e-01
  520        24973.449        25562.477       -1.158e+00
  521        24967.099        25555.687       -9.172e-02
  522        24968.298        25556.969       -1.080e-02
  523        24973.661        25562.703       -1.257e+00
  524        24971.222        25560.096       -3.643e-01
  525        24967.099        25555.687       -9.172e-02
