polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models in this file assume the voyager wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing the gravity moments j2,j4 from Gaussians with means and standard deviations from Jacobson 2009.
index         r_pol_km          r_eq_km
  320   24286.09711802   24761.83295726
  321   24286.02795553   24761.76615504
  322   24286.17950815   24761.71777782
  323   24285.89200071   24761.81135778
  324   24285.82151648   24761.88876880
  325   24286.03649679   24761.90374773
  326   24286.09271726   24761.72768893
  327   24285.93609139   24761.69561785
  328   24286.09891577   24761.86389638
  329   24286.21212646   24761.79571765
  330   24285.99569995   24761.89810306
  331   24286.29832976   24761.68326326
  332   24285.92618213   24761.77336662
  333   24285.85642779   24761.88582258
  334   24286.11515526   24761.77709707
  335   24286.24605744   24761.83834159
  336   24286.37230175   24761.81748681
  337   24286.19943051   24761.84066044
  338   24285.96033439   24761.73993946
  339   24286.09572833   24761.81807934
  340   24286.12261031   24761.78657731
  341   24285.85346841   24761.98458458
  342   24285.98931215   24761.81977616
  343   24286.28569410   24761.79957211
  344   24286.11060747   24761.62427605
  345   24286.00639999   24762.09343830
  346   24285.83719850   24761.82003133
  347   24285.58532622   24762.03088798
  348   24285.91261528   24761.85107788
  349   24285.92717618   24761.80317183
  350   24285.84553802   24761.67297294
  351   24285.82907133   24761.87035332
  352   24285.99487093   24761.72516701
  353   24285.92120245   24761.87712787
  354   24286.05762257   24761.93658280
  355   24286.10469160   24761.93604444
  356   24285.98587001   24761.87559611
  357   24286.01502723   24761.93636613
  358   24286.09641917   24761.79238015
  359   24285.84773181   24761.61303389
