       Table 1 (Garcia-Melendo et al.)

 Averaged mean zonal flow from Cassini ISS
 CB2 and CB3 images, from 2004 to 2008.

 Lat       Lat       u      sigma-u    Number
 Pc        Pg       m/s       m/s    of points
------    -----     -----   -------  ---------
9.1       11.1      363.2     5.1       6
9.2       11.3      362.0     3.3       7
9.5       11.6      360.5     2.6       7
9.6       11.8      354.2     5.2       12
9.8       12.0      349.7     6.5       15
10.1      12.3      357.0     5.8       22
10.2      12.5      353.0     8.7       18
10.4      12.7      342.1     11.2      21
10.6      13.0      336.5     11.2      19
10.9      13.3      331.7     7.9       23
11.2      13.7      321.5     11.1      19
11.4      13.9      319.7     9.0       15
11.7      14.3      312.7     8.5       21
11.8      14.4      310.4     7.1       18
12.0      14.7      306.3     6.7       9
12.3      15.0      308.2     3.3       10
12.4      15.1      306.8     2.7       8
12.7      15.5      301.8     3.1       9
12.8      15.6      297.6     5.3       10
13.1      15.9      293.5     7.4       14
13.3      16.2      286.2     9.6       20
13.5      16.4      276.8     9.6       19
13.7      16.7      267.9     7.2       26
13.9      16.9      260.3     6.6       29
14.1      17.1      253.9     5.1       28
14.3      17.4      249.2     5.0       30
14.5      17.6      243.1     4.4       30
14.7      17.9      239.0     5.1       30
14.9      18.1      235.2     3.8       30
15.1      18.3      231.2     3.8       30
15.3      18.6      225.6     3.1       30
15.5      18.8      222.1     3.6       30
15.7      19.0      218.5     4.0       30
15.9      19.3      214.9     3.9       30
16.1      19.5      210.8     3.2       30
16.3      19.7      208.6     2.4       30
16.5      20.0      204.9     2.1       30
16.7      20.2      202.0     2.2       30
16.9      20.5      198.7     2.1       30
17.1      20.7      196.1     2.6       30
17.3      20.9      192.8     2.4       30
17.5      21.2      190.0     2.9       30
17.7      21.4      186.5     3.3       30
17.9      21.6      184.1     3.4       30
18.1      21.9      181.8     2.6       30
18.3      22.1      179.5     2.8       30
18.5      22.3      176.3     2.9       30
18.7      22.6      173.3     3.0       30
18.9      22.8      169.4     3.1       30
19.1      23.0      164.9     3.5       30
19.3      23.3      161.4     4.3       30
19.5      23.5      159.0     4.0       30
19.7      23.7      155.3     3.1       30
19.9      24.0      152.5     3.4       30
20.1      24.2      148.5     3.6       30
20.3      24.4      144.1     3.8       28
20.5      24.7      138.8     5.4       28
20.7      24.9      135.2     4.1       30
20.9      25.1      131.1     3.4       30
21.1      25.4      127.8     3.7       30
21.3      25.6      123.9     4.5       30
21.5      25.8      119.6     4.2       30
21.6      26.0      116.1     3.3       29
21.9      26.3      113.9     3.0       28
22.1      26.5      110.7     2.4       30
22.3      26.7      106.4     3.6       30
22.5      27.0      103.7     3.8       30
22.7      27.2      100.7     3.4       30
22.9      27.4      98.0      2.5       30
23.1      27.7      95.5      2.2       30
23.3      27.9      93.3      1.6       30
23.5      28.1      91.5      2.0       30
23.7      28.3      89.8      1.6       30
23.9      28.6      88.2      2.0       30
24.1      28.8      85.4      2.2       30
24.3      29.0      83.0      1.9       30
24.5      29.2      80.6      1.7       30
24.7      29.5      78.6      1.8       30
24.9      29.7      76.4      1.8       30
25.1      29.9      74.8      1.8       30
25.3      30.1      73.6      1.9       30
25.5      30.4      73.2      2.0       30
25.7      30.6      72.6      2.0       30
25.9      30.8      72.7      2.4       30
26.1      31.0      73.7      2.6       30
26.3      31.3      74.9      2.8       30
26.5      31.5      75.9      2.3       30
26.7      31.7      75.7      1.8       30
26.9      31.9      75.1      1.5       30
27.0      32.1      73.7      1.8       29
27.3      32.4      70.9      2.3       30
27.5      32.6      66.9      2.2       30
27.7      32.8      64.0      2.2       30
27.9      33.0      61.8      1.5       30
28.1      33.3      60.2      1.9       30
28.3      33.5      59.4      1.8       30
28.5      33.7      59.0      2.1       30
28.7      33.9      59.0      1.8       30
28.9      34.1      58.8      2.1       30
29.1      34.4      58.9      1.8       30
29.3      34.6      58.4      2.0       30
29.5      34.8      57.8      1.8       30
29.7      35.0      56.8      1.7       30
29.9      35.2      55.0      1.3       30
30.1      35.5      52.7      2.0       30
30.3      35.7      48.9      2.3       30
30.5      35.9      44.4      2.6       30
30.7      36.1      39.2      3.5       30
30.9      36.3      32.7      2.8       30
31.1      36.5      27.6      3.0       30
31.3      36.8      23.0      2.4       30
31.5      37.0      17.7      3.1       30
31.7      37.2      12.9      2.2       30
31.9      37.4      8.3       2.9       30
32.1      37.6      2.7       3.3       30
32.3      37.8      -3.1      2.8       30
32.5      38.1      -7.5      2.7       30
32.7      38.3      -11.3     2.6       30
32.9      38.5      -14.4     2.2       30
33.1      38.7      -17.1     1.8       30
33.3      38.9      -18.3     2.1       30
33.5      39.1      -20.0     1.9       28
33.7      39.3      -21.2     2.4       30
33.9      39.5      -21.0     2.4       28
34.1      39.8      -21.6     2.9       30
34.3      40.0      -20.7     2.8       30
34.5      40.2      -19.9     2.8       30
34.7      40.4      -18.9     3.0       30
34.9      40.6      -17.9     3.3       30
35.1      40.8      -16.5     3.0       30
35.3      41.0      -15.5     3.2       30
35.5      41.2      -13.6     3.3       30
35.7      41.4      -11.7     3.0       30
35.9      41.7      -9.8      3.2       30
36.1      41.9      -7.8      3.1       30
36.3      42.1      -5.9      2.8       30
36.5      42.3      -3.9      2.8       30
36.7      42.5      -1.7      3.1       30
36.9      42.7      1.0       3.0       29
37.1      42.9      4.5       3.4       30
37.3      43.1      7.9       3.3       30
37.5      43.3      11.7      3.9       30
37.7      43.5      15.7      4.2       30
37.9      43.7      21.3      4.0       30
38.1      43.9      27.0      3.9       30
38.3      44.1      32.8      4.5       30
38.5      44.3      42.0      10.7      29
38.6      44.5      46.1      5.6       29
38.9      44.8      51.6      7.5       30
39.1      45.0      59.4      7.4       29
39.3      45.2      65.6      8.0       30
39.4      45.3      72.5      6.1       29
39.7      45.6      79.5      6.5       29
39.9      45.8      86.1      5.1       30
40.1      46.0      92.0      6.5       30
40.3      46.2      105.5     14.0      30
40.5      46.4      114.5     10.8      28
40.7      46.6      119.4     8.0       30
40.9      46.8      124.9     6.9       29
41.0      46.9      128.2     7.2       26
41.3      47.2      133.5     7.4       26
41.4      47.3      135.5     10.3      21
41.6      47.5      138.0     14.2      17
41.9      47.8      144.6     13.3      22
42.0      47.9      139.8     14.2      23
42.3      48.2      141.5     9.8       27
42.4      48.3      138.1     8.3       29
42.7      48.6      132.3     5.8       28
42.9      48.8      126.0     5.5       28
43.1      49.0      117.3     4.0       30
43.3      49.2      110.8     3.5       30
43.4      49.3      102.9     4.4       29
43.6      49.5      95.0      4.5       29
43.8      49.7      81.1      14.0      27
44.1      50.0      61.7      12.0      21
44.3      50.2      58.4      9.3       23
44.4      50.3      52.3      8.8       24
44.7      50.6      50.7      6.6       28
44.9      50.8      47.4      2.8       30
45.1      51.0      45.5      3.2       30
45.3      51.2      44.7      7.0       28
45.4      51.3      43.9      10.0      25
45.7      51.5      30.0      10.4      28
45.9      51.7      25.9      5.9       28
46.0      51.8      24.8      4.2       29
46.3      52.1      23.3      2.9       30
46.5      52.3      21.5      2.3       30
46.7      52.5      18.8      2.0       30
46.9      52.7      16.0      2.1       30
47.1      52.9      13.4      2.6       30
47.3      53.1      10.9      2.6       28
47.5      53.3      9.2       3.5       30
47.7      53.5      8.1       3.9       30
47.9      53.7      5.8       2.1       30
48.1      53.9      4.2       1.9       28
48.3      54.1      2.7       1.9       28
48.5      54.3      1.7       2.1       30
48.7      54.4      0.1       1.5       30
48.9      54.6      -0.9      1.9       30
49.1      54.8      -1.7      2.4       30
49.3      55.0      -2.3      2.2       30
