shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.244781 -3.599057 -0.117234  0.852378  0.289859 -0.249673 -0.272671 -0.021675  0.086471  0.036530
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -0.7510204082     0.8496061434    48.6788462656    50.0564213785     0.0240432214     0.0001151569 25246.4685469232
   -0.7489795918     0.8465207132    48.5020641364    49.8784638895     0.0240227075     0.0001150200 25248.3410611381
   -0.7469387755     0.8434460067    48.3258964330    49.7010621656     0.0240011698     0.0001148833 25250.2055718264
   -0.7448979592     0.8403818842    48.1503351447    49.5242100956     0.0239786414     0.0001147466 25252.0620953908
   -0.7428571429     0.8373282086    47.9753724206    49.3479016850     0.0239551547     0.0001146101 25253.9106496289
   -0.7408163265     0.8342848456    47.8010005647    49.1721310511     0.0239307415     0.0001144737 25255.7512536803
   -0.7387755102     0.8312516635    47.6272120320    48.9968924181     0.0239054324     0.0001143376 25257.5839279768
   -0.7367346939     0.8282285332    47.4539994242    48.8221801122     0.0238792578     0.0001142019 25259.4086941939
   -0.7346938776     0.8252153280    47.2813554856    48.6479885574     0.0238522468     0.0001140664 25261.2255752045
   -0.7326530612     0.8222119238    47.1092730996    48.4743122709     0.0238244280     0.0001139314 25263.0345950353
   -0.7306122449     0.8192181987    46.9377452847    48.3011458597     0.0237958291     0.0001137968 25264.8357788239
   -0.7285714286     0.8162340331    46.7667651908    48.1284840166     0.0237664770     0.0001136627 25266.6291527782
   -0.7265306122     0.8132593097    46.5963260961    47.9563215166     0.0237363979     0.0001135291 25268.4147438555
