shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.235650 -3.623158 -0.106032  0.834220  0.279658 -0.147820 -0.233746  0.041517  0.097552 -0.030411
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -0.7244897959     0.8102939134    46.4264214035    47.7855845117     0.0237218713     0.0001134447 25270.3304077482
   -0.7224489796     0.8073377312    46.2570446372    47.6144326726     0.0236908904     0.0001133138 25272.1017597857
   -0.7204081633     0.8043906520    46.0881894401    47.4437600577     0.0236591705     0.0001131832 25273.8654440209
   -0.7183673469     0.8014525670    45.9198495701    47.2735619732     0.0236267386     0.0001130530 25275.6214849112
   -0.7163265306     0.7985233692    45.7520188977    47.1038337170     0.0235936195     0.0001129234 25277.3699077301
   -0.7142857143     0.7956029535    45.5846914028    46.9345706541     0.0235598374     0.0001127942 25279.1107385388
   -0.7122448980     0.7926912167    45.4178611722    46.7657682208     0.0235254160     0.0001126656 25280.8440041582
   -0.7102040816     0.7897880574    45.2515223968    46.5974219216     0.0234903781     0.0001125376 25282.5697321422
   -0.7081632653     0.7868933760    45.0856693690    46.4295273262     0.0234547460     0.0001124102 25284.2879507525
   -0.7061224490     0.7840070746    44.9202964804    46.2620800673     0.0234185414     0.0001122834 25285.9986889333
   -0.7040816327     0.7811290570    44.7553982192    46.0950758373     0.0233817854     0.0001121573 25287.7019762885
   -0.7020408163     0.7782592286    44.5909691678    45.9285103866     0.0233444981     0.0001120320 25289.3978430581
   -0.7000000000     0.7753974966    44.4270040008    45.7623795208     0.0233066996     0.0001119074 25291.0863200970
   -0.6979591837     0.7725437695    44.2634974825    45.5966790991     0.0232684087     0.0001117836 25292.7674388536
   -0.6959183673     0.7696979575    44.1004444649    45.4314050604     0.0232296446     0.0001116606 25294.4412313496
   -0.6938775510     0.7668599722    43.9378398857    45.2665545151     0.0231904451     0.0001115385 25296.1077301606
   -0.6918367347     0.7640297268    43.7756787663    45.1021224892     0.0231508103     0.0001114173 25297.7669683974
   -0.6897959184     0.7612071357    43.6139562096    44.9381050340     0.0231107568     0.0001112969 25299.4189796880
   -0.6877551020     0.7583921149    43.4526673983    44.7744982446     0.0230703004     0.0001111775 25301.0637981601
   -0.6857142857     0.7555845816    43.2918075933    44.6112982581     0.0230294566     0.0001110590 25302.7014584246
   -0.6836734694     0.7527844546    43.1313721313    44.4485012525     0.0229882398     0.0001109415 25304.3319955089
   -0.6816326531     0.7499916536    42.9713564236    44.2861034450     0.0229466644     0.0001108249 25305.9554424104
   -0.6795918367     0.7472061000    42.8117559545    44.1241010916     0.0229047436     0.0001107094 25307.5718340982
   -0.6775510204     0.7444277160    42.6525662790    43.9624904856     0.0228624904     0.0001105949 25309.1812071196
   -0.6755102041     0.7416564254    42.4937830220    43.8012693718     0.0228199417     0.0001104814 25310.7835979106
   -0.6734693878     0.7388921529    42.3354018762    43.6404336254     0.0227771009     0.0001103691 25312.3790427962
   -0.6714285714     0.7361348246    42.1774186009    43.4799789012     0.0227339659     0.0001102578 25313.9675779894
   -0.6693877551     0.7333843675    42.0198290204    43.3199016240     0.0226905474     0.0001101476 25315.5492395923
   -0.6673469388     0.7306407100    41.8626290228    43.1601982510     0.0226468553     0.0001100385 25317.1240635954
   -0.6653061224     0.7279037813    41.7058145582    43.0008652713     0.0226028989     0.0001099305 25318.6920858781
   -0.6632653061     0.7251735117    41.5493816378    42.8418992058     0.0225586872     0.0001098235 25320.2533422088
   -0.6612244898     0.7224498329    41.3933263324    42.6832966059     0.0225142285     0.0001097177 25321.8078682452
   -0.6591836735     0.7197326770    41.2376447712    42.5250562108     0.0224695684     0.0001096132 25323.3556995343
   -0.6571428571     0.7170219777    41.0823331405    42.3671734227     0.0224246933     0.0001095097 25324.8968715131
   -0.6551020408     0.7143176693    40.9273876824    42.2096440697     0.0223795958     0.0001094075 25326.4314195086
   -0.6530612245     0.7116196872    40.7728046940    42.0524648099     0.0223342823     0.0001093063 25327.9593787386
   -0.6510204082     0.7089279677    40.6185805260    41.8956323302     0.0222887587     0.0001092063 25329.4807843118
   -0.6489795918     0.7062424480    40.4647115813    41.7391433463     0.0222430304     0.0001091074 25330.9956712283
   -0.6469387755     0.7035630662    40.3111943147    41.5829946024     0.0221971024     0.0001090096 25332.5040743803
   -0.6448979592     0.7008897614    40.1580252311    41.4271852347     0.0221510208     0.0001089131 25334.0060285525
   -0.6428571429     0.6982224734    40.0052008849    41.2717109166     0.0221047701     0.0001088178 25335.5015684228
   -0.6408163265     0.6955611429    39.8527178787    41.1165673152     0.0220583339     0.0001087236 25336.9907285625
   -0.6387755102     0.6929057114    39.7005728628    40.9617512715     0.0220117157     0.0001086306 25338.4735434374
   -0.6367346939     0.6902561213    39.5487625338    40.8072596540     0.0219649184     0.0001085386 25339.9500450486
   -0.6346938776     0.6876123158    39.3972836338    40.6530893592     0.0219179447     0.0001084478 25341.4202652673
   -0.6326530612     0.6849742386    39.2461329497    40.4992381271     0.0218708112     0.0001083581 25342.8842378277
   -0.6306122449     0.6823418347    39.0953073120    40.3457051526     0.0218235593     0.0001082697 25344.3419958723
   -0.6285714286     0.6797150493    38.9448035941    40.1924843783     0.0217761377     0.0001081824 25345.7935719632
   -0.6265306122     0.6770938286    38.7946187117    40.0395727952     0.0217285478     0.0001080961 25347.2389980928
   -0.6244897959     0.6744781195    38.6447496216    39.8869674222     0.0216807906     0.0001080109 25348.6783056948
   -0.6224489796     0.6718678696    38.4951933211    39.7346653058     0.0216328671     0.0001079268 25350.1115256540
   -0.6204081633     0.6692630273    38.3459468472    39.5826642947     0.0215847914     0.0001078438 25351.5386883170
   -0.6183673469     0.6666635414    38.1970072760    39.4309639468     0.0215366067     0.0001077620 25352.9598235013
   -0.6163265306     0.6640693616    38.0483717214    39.2795581263     0.0214882565     0.0001076812 25354.3749605059
   -0.6142857143     0.6614804381    37.9000373354    39.1284439753     0.0214397404     0.0001076014 25355.7841281197
   -0.6122448980     0.6588967220    37.7520013062    38.9776186645     0.0213910583     0.0001075227 25357.1873546311
   -0.6102040816     0.6563181648    37.6042608584    38.8270793928     0.0213422096     0.0001074449 25358.5846678370
